127.0.0.1 - - [02/Nov/2016:10:32:53 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [02/Nov/2016:10:32:56 +0530] "GET /CollabPortal/ HTTP/1.1" 200 3037
0:0:0:0:0:0:0:1 - - [02/Nov/2016:10:32:56 +0530] "GET /CollabPortal/resources/css/font-awesome.min.css;jsessionid=7DAEC61611CB93106AD6A3AF199EEEA0 HTTP/1.1" 200 28931
0:0:0:0:0:0:0:1 - - [02/Nov/2016:10:32:56 +0530] "GET /CollabPortal/resources/css/bootstrap.min.css;jsessionid=7DAEC61611CB93106AD6A3AF199EEEA0 HTTP/1.1" 200 121260
0:0:0:0:0:0:0:1 - - [02/Nov/2016:10:32:56 +0530] "GET /CollabPortal/resources/css/trend.css;jsessionid=7DAEC61611CB93106AD6A3AF199EEEA0 HTTP/1.1" 200 4250
0:0:0:0:0:0:0:1 - - [02/Nov/2016:10:32:57 +0530] "GET /CollabPortal/resources/css/info.css;jsessionid=7DAEC61611CB93106AD6A3AF199EEEA0 HTTP/1.1" 200 3574
0:0:0:0:0:0:0:1 - - [02/Nov/2016:10:32:57 +0530] "GET /CollabPortal/resources/css/style.css;jsessionid=7DAEC61611CB93106AD6A3AF199EEEA0 HTTP/1.1" 200 56436
0:0:0:0:0:0:0:1 - - [02/Nov/2016:10:32:57 +0530] "GET /CollabPortal/resources/images/banner1.jpg;jsessionid=7DAEC61611CB93106AD6A3AF199EEEA0 HTTP/1.1" 200 255844
0:0:0:0:0:0:0:1 - - [02/Nov/2016:10:32:57 +0530] "GET /CollabPortal/resources/images/banner2.jpg;jsessionid=7DAEC61611CB93106AD6A3AF199EEEA0 HTTP/1.1" 200 272211
0:0:0:0:0:0:0:1 - - [02/Nov/2016:10:32:57 +0530] "GET /CollabPortal/resources/images/banner3.jpg;jsessionid=7DAEC61611CB93106AD6A3AF199EEEA0 HTTP/1.1" 200 104904
0:0:0:0:0:0:0:1 - - [02/Nov/2016:10:35:46 +0530] "GET /CollabPortal/ HTTP/1.1" 200 3037
0:0:0:0:0:0:0:1 - - [02/Nov/2016:10:35:47 +0530] "GET /CollabPortal/resources/css/bootstrap.min.css;jsessionid=1B14C5036200868A78B9F8DAF17B87FA HTTP/1.1" 200 121260
0:0:0:0:0:0:0:1 - - [02/Nov/2016:10:35:47 +0530] "GET /CollabPortal/resources/css/trend.css;jsessionid=1B14C5036200868A78B9F8DAF17B87FA HTTP/1.1" 200 4250
0:0:0:0:0:0:0:1 - - [02/Nov/2016:10:35:47 +0530] "GET /CollabPortal/resources/css/style.css;jsessionid=1B14C5036200868A78B9F8DAF17B87FA HTTP/1.1" 200 56436
0:0:0:0:0:0:0:1 - - [02/Nov/2016:10:35:47 +0530] "GET /CollabPortal/resources/css/font-awesome.min.css;jsessionid=1B14C5036200868A78B9F8DAF17B87FA HTTP/1.1" 200 28931
0:0:0:0:0:0:0:1 - - [02/Nov/2016:10:35:47 +0530] "GET /CollabPortal/resources/css/info.css;jsessionid=1B14C5036200868A78B9F8DAF17B87FA HTTP/1.1" 200 3574
0:0:0:0:0:0:0:1 - - [02/Nov/2016:10:35:48 +0530] "GET /CollabPortal/resources/images/banner3.jpg;jsessionid=1B14C5036200868A78B9F8DAF17B87FA HTTP/1.1" 200 104904
0:0:0:0:0:0:0:1 - - [02/Nov/2016:10:35:48 +0530] "GET /CollabPortal/resources/images/banner1.jpg;jsessionid=1B14C5036200868A78B9F8DAF17B87FA HTTP/1.1" 200 255844
0:0:0:0:0:0:0:1 - - [02/Nov/2016:10:35:48 +0530] "GET /CollabPortal/resources/images/banner2.jpg;jsessionid=1B14C5036200868A78B9F8DAF17B87FA HTTP/1.1" 200 272211
0:0:0:0:0:0:0:1 - - [02/Nov/2016:10:35:49 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [02/Nov/2016:10:36:00 +0530] "GET /CollabPortal/about.html HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [02/Nov/2016:10:36:10 +0530] "GET /CollabPortal/index.html HTTP/1.1" 404 992
